dataset,w,a,sb,tb,si,ka
t401,3,7,20,20,5,5
t401,3,7,20,20,5,1
t401,3,7,20,20,6,1
t401,3,7,20,20,6,3
t401,3,7,20,20,6,2
t401,3,7,20,20,6,4
t401,3,7,20,20,5,3
t401,3,7,20,20,5,2
t401,3,7,20,20,5,4
t401,3,7,20,20,4,4
t401,3,7,20,20,4,3
t401,3,7,20,20,4,2
t401,3,7,20,20,4,1
t401,3,7,20,20,3,2
t401,3,7,20,20,3,1
t401,3,7,20,20,3,3
t401,3,7,20,20,2,1
t401,3,7,20,20,2,2
t401,3,7,20,20,7,1
t401,3,7,20,20,7,2
t401,3,7,20,20,7,3
t401,4,7,20,20,5,1
t401,3,7,20,20,7,4
t401,3,7,20,20,7,5
t401,4,7,20,20,4,1
t401,4,7,20,20,4,4
t401,4,7,20,20,4,2
t401,4,7,20,20,5,3
t401,4,7,20,20,4,3
t401,3,7,20,20,6,5
t401,4,7,20,20,5,2
t401,4,7,20,20,3,1
t401,4,7,20,20,5,4
t401,4,7,20,20,3,3
t401,4,7,20,20,3,2
t401,4,7,20,20,5,5
t401,4,7,20,20,6,1
t401,4,7,20,20,6,2
t401,4,7,20,20,6,4
t401,4,7,20,20,6,5
t401,4,7,20,20,6,3
t401,4,7,20,20,7,1
t401,4,7,20,20,7,3
t401,4,7,20,20,7,2
t401,4,7,20,20,7,4
t401,4,7,20,20,7,5
t401,5,7,20,20,3,1
t401,5,7,20,20,3,2
t401,5,7,20,20,3,3
t401,5,7,20,20,4,1
t401,5,7,20,20,4,2
t401,5,7,20,20,4,3
t401,5,7,20,20,5,1
t401,5,7,20,20,5,2
t401,5,7,20,20,5,3
t401,5,7,20,20,4,4
t401,5,7,20,20,6,2
t401,5,7,20,20,6,3
t401,5,7,20,20,5,4
t401,5,7,20,20,5,5
t401,5,7,20,20,6,4
t401,5,7,20,20,6,1
t401,5,7,20,20,7,1
t401,5,7,20,20,6,5
t401,5,7,20,20,7,2
t401,5,7,20,20,7,3
t401,5,7,20,20,7,4
t401,5,7,20,20,7,5
t401,6,7,20,20,4,1
t401,6,7,20,20,4,3
t401,6,7,20,20,4,2
t401,6,7,20,20,3,2
t401,6,7,20,20,3,1
t401,6,7,20,20,4,4
t401,6,7,20,20,3,3
t401,6,7,20,20,5,1
t401,6,7,20,20,5,2
t401,6,7,20,20,5,4
t401,6,7,20,20,5,3
t401,6,7,20,20,5,5
t401,6,7,20,20,6,2
t401,6,7,20,20,6,1
t401,6,7,20,20,6,3
t401,6,7,20,20,6,5
t401,6,7,20,20,6,4
t401,6,7,20,20,7,1
t401,6,7,20,20,7,2
