dataset,w,a,sb,tb,si,ka,motifs,occurrences,dnorm,dsearch,drank,dtotal
t401,4,7,20,20,5,1,3569,30904,1.1,2.3,3.1,3.1
t401,3,7,20,20,7,2,4438,65509,1.1,2.3,5.0,5.1
t401,3,7,20,20,7,1,4439,65544,1.1,2.3,5.0,5.1
t401,3,7,20,20,7,3,4435,65421,1.1,2.3,5.0,5.0
t401,3,7,20,20,7,5,4398,65036,1.1,2.3,5.0,5.1
t401,3,7,20,20,7,4,4425,65627,1.1,2.3,5.2,5.2
t401,3,7,20,20,5,5,8451,97794,1.1,2.4,6.0,6.1
t401,3,7,20,20,6,3,6336,83664,1.1,2.3,6.0,6.1
t401,3,7,20,20,6,1,6345,83776,1.1,2.4,6.1,6.1
t401,3,7,20,20,6,2,6344,83741,1.1,2.3,6.1,6.1
t401,3,7,20,20,6,4,6317,83712,1.1,2.5,6.3,6.3
t401,3,7,20,20,5,1,9076,103998,1.1,2.4,6.5,6.5
t401,3,7,20,20,5,3,9060,103884,1.1,2.4,6.5,6.5
t401,3,7,20,20,5,4,8999,103864,1.0,2.4,6.6,6.6
t401,3,7,20,20,5,2,9075,103953,1.1,2.4,6.7,6.8
t401,3,7,20,20,4,4,11871,121461,1.0,2.5,7.4,7.4
t401,3,7,20,20,4,3,12274,124364,1.0,2.5,7.5,7.5
t401,3,7,20,20,4,1,12315,124686,1.0,2.5,7.5,7.6
t401,3,7,20,20,4,2,12312,124633,1.0,2.5,7.5,7.6
t401,4,7,20,20,4,1,7420,50223,0.8,2.3,3.7,3.8
t401,3,7,20,20,3,3,15803,133507,1.0,2.6,8.2,8.2
t401,3,7,20,20,3,1,15894,133880,1.0,2.6,8.2,8.3
t401,3,7,20,20,3,2,15891,133855,1.0,2.6,8.2,8.3
t401,4,7,20,20,4,4,6934,47492,0.8,2.3,3.7,3.7
t401,4,7,20,20,4,2,7408,50112,0.8,2.3,3.7,3.8
t401,3,7,20,20,2,1,19194,124112,1.1,2.8,8.8,8.8
t401,3,7,20,20,2,2,19253,124860,1.1,2.8,8.8,8.8
t401,4,7,20,20,5,3,3547,30687,0.8,2.3,3.1,3.1
t401,4,7,20,20,5,4,3509,30288,0.8,2.2,3.1,3.1
t401,4,7,20,20,5,2,3563,30824,0.8,2.2,3.1,3.1
t401,4,7,20,20,6,1,1855,20248,0.8,2.3,2.9,2.9
t401,4,7,20,20,6,2,1852,20183,0.7,2.2,2.9,2.9
t401,4,7,20,20,5,5,3214,27982,0.8,2.2,3.0,3.0
t401,4,7,20,20,4,3,7359,50050,0.8,2.3,3.8,3.8
t401,4,7,20,20,6,4,1831,19872,0.8,2.4,3.0,3.0
t401,4,7,20,20,6,5,1788,19229,0.7,2.2,2.8,2.8
t401,4,7,20,20,7,1,1074,14034,0.7,2.2,2.7,2.7
t401,4,7,20,20,7,3,1065,13892,0.8,2.2,2.7,2.7
t401,4,7,20,20,7,2,1071,13969,0.8,2.2,2.7,2.7
t401,4,7,20,20,6,3,1843,20070,0.7,2.2,2.9,2.9
t401,4,7,20,20,7,4,1057,13733,0.7,2.2,2.7,2.7
t401,4,7,20,20,7,5,1034,13384,0.7,2.2,2.7,2.7
t401,5,7,20,20,4,1,2501,15165,0.7,2.2,2.5,2.5
t401,5,7,20,20,4,2,2492,15052,0.8,2.2,2.5,2.5
t401,5,7,20,20,4,3,2467,14861,0.8,2.1,2.5,2.5
t401,5,7,20,20,3,1,7774,33176,0.7,2.2,3.2,3.2
t401,5,7,20,20,5,1,1040,8607,0.8,2.1,2.3,2.3
t401,5,7,20,20,5,2,1035,8526,0.8,2.1,2.3,2.3
t401,5,7,20,20,6,2,517,5449,0.8,2.1,2.2,2.2
t401,5,7,20,20,5,3,1021,8419,0.8,2.1,2.3,2.3
t401,5,7,20,20,6,3,512,5392,0.8,2.1,2.2,2.2
t401,3,7,20,20,6,5,6189,81946,0.8,2.3,5.9,5.9
t401,4,7,20,20,3,1,16910,86553,0.8,2.5,5.8,5.8
t401,4,7,20,20,3,3,16396,84591,0.8,2.5,5.7,5.8
t401,5,7,20,20,3,2,7752,33073,0.8,2.3,3.2,3.2
t401,5,7,20,20,4,4,2349,14254,0.8,2.1,2.5,2.5
t401,5,7,20,20,3,3,7560,32245,0.7,2.3,3.2,3.2
t401,5,7,20,20,5,4,1009,8286,0.8,2.1,2.3,2.3
t401,4,7,20,20,3,2,16882,86338,0.7,2.5,6.0,6.1
t401,5,7,20,20,6,4,503,5284,0.8,2.1,2.3,2.3
t401,5,7,20,20,5,5,940,7780,0.8,2.1,2.3,2.3
t401,5,7,20,20,7,1,299,3847,0.8,2.1,2.2,2.2
t401,5,7,20,20,6,1,521,5525,0.8,2.2,2.3,2.3
t401,5,7,20,20,6,5,491,5140,0.8,2.1,2.3,2.3
t401,5,7,20,20,7,2,295,3771,0.7,2.2,2.3,2.3
t401,5,7,20,20,7,3,296,3756,0.8,2.2,2.3,2.3
t401,5,7,20,20,7,4,293,3690,0.8,2.1,2.2,2.2
t401,6,7,20,20,4,1,897,5257,0.8,2.0,2.1,2.1
t401,5,7,20,20,7,5,287,3612,0.8,2.1,2.2,2.2
